equation,operand_1,operation,operand_2,answer
28+57=85,28,+,57,85
161+378=539,161,+,378,539
349+711=1060,349,+,711,1060
917-890=27,917,-,890,27
491+516=1007,491,+,516,1007
979-191=788,979,-,191,788
927-562=365,927,-,562,365
417+199=616,417,+,199,616
235+477=712,235,+,477,712
934+167=1101,934,+,167,1101
492+299=791,492,+,299,791
938+577=1515,938,+,577,1515
558+955=1513,558,+,955,1513
769-707=62,769,-,707,62
772-281=491,772,-,281,491
714+376=1090,714,+,376,1090
756+501=1257,756,+,501,1257
865-487=378,865,-,487,378
437-371=66,437,-,371,66
398+637=1035,398,+,637,1035
930-727=203,930,-,727,203
944-502=442,944,-,502,442
470-132=338,470,-,132,338
157+314=471,157,+,314,471
777-251=526,777,-,251,526
667-658=9,667,-,658,9
885-297=588,885,-,297,588
608+160=768,608,+,160,768
184-104=80,184,-,104,80
109+797=906,109,+,797,906
749+785=1534,749,+,785,1534
700-530=170,700,-,530,170
759-394=365,759,-,394,365
40+52=92,40,+,52,92
409-322=87,409,-,322,87
881-855=26,881,-,855,26
44+602=646,44,+,602,646
946+161=1107,946,+,161,1107
476-436=40,476,-,436,40
231+481=712,231,+,481,712
901-868=33,901,-,868,33
611+429=1040,611,+,429,1040
611+483=1094,611,+,483,1094
528-474=54,528,-,474,54
691+675=1366,691,+,675,1366
57+388=445,57,+,388,445
176+18=194,176,+,18,194
193+425=618,193,+,425,618
86+906=992,86,+,906,992
268+782=1050,268,+,782,1050
862-276=586,862,-,276,586
808-119=689,808,-,119,689
411-12=399,411,-,12,399
687-629=58,687,-,629,58
973-32=941,973,-,32,941
692-640=52,692,-,640,52
456-455=1,456,-,455,1
350+77=427,350,+,77,427
723-677=46,723,-,677,46
978+901=1879,978,+,901,1879
967-577=390,967,-,577,390
938-927=11,938,-,927,11
479-470=9,479,-,470,9
723+952=1675,723,+,952,1675
280+87=367,280,+,87,367
928-688=240,928,-,688,240
920-709=211,920,-,709,211
843+17=860,843,+,17,860
730-730=0,730,-,730,0
647-255=392,647,-,255,392
642-472=170,642,-,472,170
956-639=317,956,-,639,317
925+958=1883,925,+,958,1883
169-79=90,169,-,79,90
517-224=293,517,-,224,293
454+45=499,454,+,45,499
749+832=1581,749,+,832,1581
687-238=449,687,-,238,449
195+919=1114,195,+,919,1114
350-342=8,350,-,342,8
375-297=78,375,-,297,78
487-322=165,487,-,322,165
904-100=804,904,-,100,804
325+475=800,325,+,475,800
852+419=1271,852,+,419,1271
531-24=507,531,-,24,507
768-420=348,768,-,420,348
243-233=10,243,-,233,10
998+251=1249,998,+,251,1249
327-300=27,327,-,300,27
975+175=1150,975,+,175,1150
824-122=702,824,-,122,702
251-123=128,251,-,123,128
609+699=1308,609,+,699,1308
328+461=789,328,+,461,789
24+706=730,24,+,706,730
690+493=1183,690,+,493,1183
468+123=591,468,+,123,591
619+715=1334,619,+,715,1334
732-347=385,732,-,347,385
76+51=127,76,+,51,127
695+805=1500,695,+,805,1500
813+900=1713,813,+,900,1713
721+13=734,721,+,13,734
422-386=36,422,-,386,36
379-285=94,379,-,285,94
830+830=1660,830,+,830,1660
741+809=1550,741,+,809,1550
323-270=53,323,-,270,53
518-211=307,518,-,211,307
446+670=1116,446,+,670,1116
383-295=88,383,-,295,88
689+884=1573,689,+,884,1573
962-267=695,962,-,267,695
869-650=219,869,-,650,219
451+618=1069,451,+,618,1069
838-745=93,838,-,745,93
157-95=62,157,-,95,62
489-427=62,489,-,427,62
229+794=1023,229,+,794,1023
414+496=910,414,+,496,910
317-308=9,317,-,308,9
280+574=854,280,+,574,854
16+16=32,16,+,16,32
912-903=9,912,-,903,9
173-38=135,173,-,38,135
930-384=546,930,-,384,546
79+4=83,79,+,4,83
288-200=88,288,-,200,88
996-962=34,996,-,962,34
825-101=724,825,-,101,724
499+58=557,499,+,58,557
576+924=1500,576,+,924,1500
642-159=483,642,-,159,483
6+90=96,6,+,90,96
108-29=79,108,-,29,79
614+600=1214,614,+,600,1214
543-486=57,543,-,486,57
808-772=36,808,-,772,36
647-62=585,647,-,62,585
977-408=569,977,-,408,569
702-450=252,702,-,450,252
333-123=210,333,-,123,210
268+437=705,268,+,437,705
892-759=133,892,-,759,133
802+48=850,802,+,48,850
227+814=1041,227,+,814,1041
735-189=546,735,-,189,546
794+342=1136,794,+,342,1136
639+406=1045,639,+,406,1045
624+506=1130,624,+,506,1130
428-398=30,428,-,398,30
981-122=859,981,-,122,859
64+782=846,64,+,782,846
8+7=15,8,+,7,15
802+507=1309,802,+,507,1309
729+22=751,729,+,22,751
387+890=1277,387,+,890,1277
183+48=231,183,+,48,231
812-765=47,812,-,765,47
320-226=94,320,-,226,94
719-439=280,719,-,439,280
968-55=913,968,-,55,913
760+280=1040,760,+,280,1040
668-235=433,668,-,235,433
470+816=1286,470,+,816,1286
798-323=475,798,-,323,475
865+528=1393,865,+,528,1393
995-154=841,995,-,154,841
621+974=1595,621,+,974,1595
156-109=47,156,-,109,47
577+954=1531,577,+,954,1531
646+601=1247,646,+,601,1247
803+860=1663,803,+,860,1663
395-392=3,395,-,392,3
753-537=216,753,-,537,216
688-562=126,688,-,562,126
943+764=1707,943,+,764,1707
56+339=395,56,+,339,395
139+732=871,139,+,732,871
398+586=984,398,+,586,984
656+154=810,656,+,154,810
980+333=1313,980,+,333,1313
760-201=559,760,-,201,559
738-706=32,738,-,706,32
207+953=1160,207,+,953,1160
320+523=843,320,+,523,843
569-448=121,569,-,448,121
398+912=1310,398,+,912,1310
957-933=24,957,-,933,24
811+218=1029,811,+,218,1029
526-231=295,526,-,231,295
35+14=49,35,+,14,49
774-326=448,774,-,326,448
675+256=931,675,+,256,931
398-118=280,398,-,118,280
976-974=2,976,-,974,2
691-145=546,691,-,145,546
202-93=109,202,-,93,109
750-710=40,750,-,710,40
159+787=946,159,+,787,946
327+237=564,327,+,237,564
17-13=4,17,-,13,4
835-635=200,835,-,635,200
250+474=724,250,+,474,724
265-194=71,265,-,194,71
174+591=765,174,+,591,765
598-248=350,598,-,248,350
925-605=320,925,-,605,320
743-743=0,743,-,743,0
758+633=1391,758,+,633,1391
254+334=588,254,+,334,588
847+47=894,847,+,47,894
362+538=900,362,+,538,900
920-191=729,920,-,191,729
338+102=440,338,+,102,440
306+270=576,306,+,270,576
34+6=40,34,+,6,40
57+721=778,57,+,721,778
767-760=7,767,-,760,7
823-789=34,823,-,789,34
9+74=83,9,+,74,83
772-764=8,772,-,764,8
659-256=403,659,-,256,403
250-229=21,250,-,229,21
999+4=1003,999,+,4,1003
931-680=251,931,-,680,251
150+943=1093,150,+,943,1093
244-96=148,244,-,96,148
641+423=1064,641,+,423,1064
766+416=1182,766,+,416,1182
331-20=311,331,-,20,311
192+299=491,192,+,299,491
871-20=851,871,-,20,851
873-466=407,873,-,466,407
74+824=898,74,+,824,898
591-211=380,591,-,211,380
363+332=695,363,+,332,695
5+3=8,5,+,3,8
44+67=111,44,+,67,111
702-662=40,702,-,662,40
59+337=396,59,+,337,396
643-638=5,643,-,638,5
744+283=1027,744,+,283,1027
373+913=1286,373,+,913,1286
425-247=178,425,-,247,178
560-408=152,560,-,408,152
708-634=74,708,-,634,74
152-95=57,152,-,95,57
743-478=265,743,-,478,265
39+16=55,39,+,16,55
257-138=119,257,-,138,119
767+187=954,767,+,187,954
12+82=94,12,+,82,94
284+848=1132,284,+,848,1132
212+223=435,212,+,223,435
610+294=904,610,+,294,904
715-679=36,715,-,679,36
933-620=313,933,-,620,313
660-119=541,660,-,119,541
241-12=229,241,-,12,229
427-252=175,427,-,252,175
428+792=1220,428,+,792,1220
902-900=2,902,-,900,2
457-385=72,457,-,385,72
742-719=23,742,-,719,23
142+564=706,142,+,564,706
290-266=24,290,-,266,24
516-449=67,516,-,449,67
182+438=620,182,+,438,620
433-429=4,433,-,429,4
209-34=175,209,-,34,175
916-824=92,916,-,824,92
400+288=688,400,+,288,688
994-363=631,994,-,363,631
928-201=727,928,-,201,727
689-134=555,689,-,134,555
946-716=230,946,-,716,230
92+871=963,92,+,871,963
519-505=14,519,-,505,14
31+634=665,31,+,634,665
387-48=339,387,-,48,339
71+170=241,71,+,170,241
994-590=404,994,-,590,404
562+591=1153,562,+,591,1153
334-332=2,334,-,332,2
747+272=1019,747,+,272,1019
710-481=229,710,-,481,229
218+2=220,218,+,2,220
580-158=422,580,-,158,422
970+89=1059,970,+,89,1059
426-417=9,426,-,417,9
182+966=1148,182,+,966,1148
602-237=365,602,-,237,365
177+515=692,177,+,515,692
337-246=91,337,-,246,91
355+933=1288,355,+,933,1288
586+329=915,586,+,329,915
660-422=238,660,-,422,238
55+248=303,55,+,248,303
0+60=60,0,+,60,60
537-405=132,537,-,405,132
886-852=34,886,-,852,34
743-350=393,743,-,350,393
164+398=562,164,+,398,562
68+7=75,68,+,7,75
834+641=1475,834,+,641,1475
14+8=22,14,+,8,22
285-63=222,285,-,63,222
822-61=761,822,-,61,761
647-642=5,647,-,642,5
938+693=1631,938,+,693,1631
866+507=1373,866,+,507,1373
584-266=318,584,-,266,318
309+584=893,309,+,584,893
701+593=1294,701,+,593,1294
468+801=1269,468,+,801,1269
187+42=229,187,+,42,229
855+737=1592,855,+,737,1592
765-251=514,765,-,251,514
957+737=1694,957,+,737,1694
69+19=88,69,+,19,88
792+924=1716,792,+,924,1716
378+258=636,378,+,258,636
587+970=1557,587,+,970,1557
552+282=834,552,+,282,834
691+590=1281,691,+,590,1281
285+643=928,285,+,643,928
69-1=68,69,-,1,68
445+536=981,445,+,536,981
694+894=1588,694,+,894,1588
862-396=466,862,-,396,466
358-259=99,358,-,259,99
693-31=662,693,-,31,662
626+399=1025,626,+,399,1025
635-629=6,635,-,629,6
947-64=883,947,-,64,883
628-443=185,628,-,443,185
494+997=1491,494,+,997,1491
538+557=1095,538,+,557,1095
640-547=93,640,-,547,93
566-53=513,566,-,53,513
402+357=759,402,+,357,759
203-146=57,203,-,146,57
965-55=910,965,-,55,910
314-21=293,314,-,21,293
83+356=439,83,+,356,439
28+42=70,28,+,42,70
839-27=812,839,-,27,812
574+353=927,574,+,353,927
490+107=597,490,+,107,597
619+613=1232,619,+,613,1232
862+467=1329,862,+,467,1329
896-648=248,896,-,648,248
166-114=52,166,-,114,52
655-446=209,655,-,446,209
789-260=529,789,-,260,529
829+0=829,829,+,0,829
892-822=70,892,-,822,70
968-429=539,968,-,429,539
76+270=346,76,+,270,346
547-524=23,547,-,524,23
980-855=125,980,-,855,125
428-424=4,428,-,424,4
272-269=3,272,-,269,3
596+846=1442,596,+,846,1442
722+944=1666,722,+,944,1666
106+535=641,106,+,535,641
947-834=113,947,-,834,113
663-195=468,663,-,195,468
601-354=247,601,-,354,247
757-734=23,757,-,734,23
940-503=437,940,-,503,437
938-773=165,938,-,773,165
943-844=99,943,-,844,99
499+833=1332,499,+,833,1332
502+871=1373,502,+,871,1373
778-220=558,778,-,220,558
25+15=40,25,+,15,40
961-608=353,961,-,608,353
657+690=1347,657,+,690,1347
981+209=1190,981,+,209,1190
812+996=1808,812,+,996,1808
933+664=1597,933,+,664,1597
35+659=694,35,+,659,694
811+134=945,811,+,134,945
579-496=83,579,-,496,83
499-421=78,499,-,421,78
402+454=856,402,+,454,856
987-116=871,987,-,116,871
833-748=85,833,-,748,85
405+560=965,405,+,560,965
989-652=337,989,-,652,337
20+41=61,20,+,41,61
979-21=958,979,-,21,958
666+393=1059,666,+,393,1059
801+655=1456,801,+,655,1456
898+655=1553,898,+,655,1553
984-978=6,984,-,978,6
74+157=231,74,+,157,231
56+32=88,56,+,32,88
553+231=784,553,+,231,784
253-87=166,253,-,87,166
702-414=288,702,-,414,288
738+229=967,738,+,229,967
785-589=196,785,-,589,196
665-80=585,665,-,80,585
506-153=353,506,-,153,353
906-818=88,906,-,818,88
29+995=1024,29,+,995,1024
900+808=1708,900,+,808,1708
856+202=1058,856,+,202,1058
927-525=402,927,-,525,402
976-904=72,976,-,904,72
803-9=794,803,-,9,794
940+937=1877,940,+,937,1877
642+272=914,642,+,272,914
643+899=1542,643,+,899,1542
464-452=12,464,-,452,12
909-330=579,909,-,330,579
895-832=63,895,-,832,63
969-265=704,969,-,265,704
543+510=1053,543,+,510,1053
798-670=128,798,-,670,128
857-772=85,857,-,772,85
674-387=287,674,-,387,287
842+464=1306,842,+,464,1306
30+57=87,30,+,57,87
342-222=120,342,-,222,120
664-655=9,664,-,655,9
928+12=940,928,+,12,940
228+862=1090,228,+,862,1090
725+312=1037,725,+,312,1037
430-80=350,430,-,80,350
918-388=530,918,-,388,530
745+224=969,745,+,224,969
440-221=219,440,-,221,219
110-49=61,110,-,49,61
865-21=844,865,-,21,844
415+118=533,415,+,118,533
870-429=441,870,-,429,441
1+57=58,1,+,57,58
228-105=123,228,-,105,123
285+847=1132,285,+,847,1132
628-349=279,628,-,349,279
622-370=252,622,-,370,252
304+105=409,304,+,105,409
242-87=155,242,-,87,155
242+654=896,242,+,654,896
0+38=38,0,+,38,38
99+824=923,99,+,824,923
706+184=890,706,+,184,890
730+59=789,730,+,59,789
639+609=1248,639,+,609,1248
574-228=346,574,-,228,346
803-794=9,803,-,794,9
443-181=262,443,-,181,262
727+540=1267,727,+,540,1267
11+79=90,11,+,79,90
347+822=1169,347,+,822,1169
649-127=522,649,-,127,522
399+822=1221,399,+,822,1221
358+986=1344,358,+,986,1344
40+49=89,40,+,49,89
996-989=7,996,-,989,7
140+167=307,140,+,167,307
908+724=1632,908,+,724,1632
264+417=681,264,+,417,681
488+41=529,488,+,41,529
862-48=814,862,-,48,814
784+144=928,784,+,144,928
870+392=1262,870,+,392,1262
818-218=600,818,-,218,600
693-627=66,693,-,627,66
504-401=103,504,-,401,103
353-34=319,353,-,34,319
907-41=866,907,-,41,866
43+50=93,43,+,50,93
842+588=1430,842,+,588,1430
184+418=602,184,+,418,602
93+843=936,93,+,843,936
633-609=24,633,-,609,24
0+307=307,0,+,307,307
253+957=1210,253,+,957,1210
973-112=861,973,-,112,861
805-206=599,805,-,206,599
24+64=88,24,+,64,88
864+821=1685,864,+,821,1685
73-71=2,73,-,71,2
558+950=1508,558,+,950,1508
944+593=1537,944,+,593,1537
854+999=1853,854,+,999,1853
775-702=73,775,-,702,73
133+679=812,133,+,679,812
540+569=1109,540,+,569,1109
171+645=816,171,+,645,816
514-288=226,514,-,288,226
723-490=233,723,-,490,233
505-390=115,505,-,390,115
644-132=512,644,-,132,512
515-286=229,515,-,286,229
849-189=660,849,-,189,660
188-86=102,188,-,86,102
670-256=414,670,-,256,414
965-417=548,965,-,417,548
653-650=3,653,-,650,3
384-128=256,384,-,128,256
928+554=1482,928,+,554,1482
388+434=822,388,+,434,822
673-665=8,673,-,665,8
15+146=161,15,+,146,161
958+917=1875,958,+,917,1875
765+693=1458,765,+,693,1458
398-204=194,398,-,204,194
400+793=1193,400,+,793,1193
950-912=38,950,-,912,38
623-24=599,623,-,24,599
625-528=97,625,-,528,97
875-576=299,875,-,576,299
861-627=234,861,-,627,234
65+315=380,65,+,315,380
941-920=21,941,-,920,21
971-689=282,971,-,689,282
22+1=23,22,+,1,23
800-446=354,800,-,446,354
709-554=155,709,-,554,155
146-141=5,146,-,141,5
654+685=1339,654,+,685,1339
156+860=1016,156,+,860,1016
468+721=1189,468,+,721,1189
252-244=8,252,-,244,8
17+733=750,17,+,733,750
481-452=29,481,-,452,29
814-156=658,814,-,156,658
405-148=257,405,-,148,257
373+653=1026,373,+,653,1026
17+524=541,17,+,524,541
961-949=12,961,-,949,12
508-411=97,508,-,411,97
370+275=645,370,+,275,645
998-671=327,998,-,671,327
557+449=1006,557,+,449,1006
794-730=64,794,-,730,64
594-564=30,594,-,564,30
876-871=5,876,-,871,5
483+252=735,483,+,252,735
313-101=212,313,-,101,212
867-862=5,867,-,862,5
676-211=465,676,-,211,465
812-580=232,812,-,580,232
826-817=9,826,-,817,9
104+961=1065,104,+,961,1065
442+215=657,442,+,215,657
519+468=987,519,+,468,987
934-849=85,934,-,849,85
487+954=1441,487,+,954,1441
862-755=107,862,-,755,107
8+33=41,8,+,33,41
554+433=987,554,+,433,987
961-914=47,961,-,914,47
60+3=63,60,+,3,63
604+448=1052,604,+,448,1052
575-515=60,575,-,515,60
404+347=751,404,+,347,751
40+1=41,40,+,1,41
7+71=78,7,+,71,78
421+319=740,421,+,319,740
513+654=1167,513,+,654,1167
935-282=653,935,-,282,653
17+799=816,17,+,799,816
765-84=681,765,-,84,681
863+98=961,863,+,98,961
7+198=205,7,+,198,205
338+342=680,338,+,342,680
462-376=86,462,-,376,86
902-595=307,902,-,595,307
238+21=259,238,+,21,259
171-25=146,171,-,25,146
942-846=96,942,-,846,96
722+767=1489,722,+,767,1489
193-105=88,193,-,105,88
55+718=773,55,+,718,773
967-930=37,967,-,930,37
903-829=74,903,-,829,74
641+234=875,641,+,234,875
886-865=21,886,-,865,21
94+204=298,94,+,204,298
766+865=1631,766,+,865,1631
759-580=179,759,-,580,179
679+183=862,679,+,183,862
538+927=1465,538,+,927,1465
998-342=656,998,-,342,656
447+184=631,447,+,184,631
987+74=1061,987,+,74,1061
255-223=32,255,-,223,32
267+722=989,267,+,722,989
168+702=870,168,+,702,870
453+904=1357,453,+,904,1357
328+299=627,328,+,299,627
522+44=566,522,+,44,566
441+43=484,441,+,43,484
458-7=451,458,-,7,451
929+536=1465,929,+,536,1465
493-30=463,493,-,30,463
25+936=961,25,+,936,961
296+41=337,296,+,41,337
371+888=1259,371,+,888,1259
53+112=165,53,+,112,165
999-904=95,999,-,904,95
66+62=128,66,+,62,128
735-105=630,735,-,105,630
784-592=192,784,-,592,192
123+886=1009,123,+,886,1009
361-266=95,361,-,266,95
553-340=213,553,-,340,213
643+312=955,643,+,312,955
533-98=435,533,-,98,435
312+536=848,312,+,536,848
968-803=165,968,-,803,165
969+508=1477,969,+,508,1477
40-30=10,40,-,30,10
218+735=953,218,+,735,953
637-510=127,637,-,510,127
663+291=954,663,+,291,954
633-335=298,633,-,335,298
807+432=1239,807,+,432,1239
324+571=895,324,+,571,895
689+121=810,689,+,121,810
824+522=1346,824,+,522,1346
764-86=678,764,-,86,678
533-252=281,533,-,252,281
727-721=6,727,-,721,6
688-492=196,688,-,492,196
511+510=1021,511,+,510,1021
543+80=623,543,+,80,623
906+368=1274,906,+,368,1274
969-516=453,969,-,516,453
953-760=193,953,-,760,193
844-844=0,844,-,844,0
638-409=229,638,-,409,229
447+187=634,447,+,187,634
574-508=66,574,-,508,66
991+406=1397,991,+,406,1397
365+78=443,365,+,78,443
757+377=1134,757,+,377,1134
913+31=944,913,+,31,944
788+258=1046,788,+,258,1046
99+37=136,99,+,37,136
178+936=1114,178,+,936,1114
791+272=1063,791,+,272,1063
984-976=8,984,-,976,8
481-457=24,481,-,457,24
690+798=1488,690,+,798,1488
552-544=8,552,-,544,8
713-247=466,713,-,247,466
220+855=1075,220,+,855,1075
471-469=2,471,-,469,2
855-225=630,855,-,225,630
492-133=359,492,-,133,359
372-48=324,372,-,48,324
646-598=48,646,-,598,48
757+499=1256,757,+,499,1256
807-274=533,807,-,274,533
307-277=30,307,-,277,30
630-40=590,630,-,40,590
884+108=992,884,+,108,992
333+965=1298,333,+,965,1298
120+297=417,120,+,297,417
319+859=1178,319,+,859,1178
775+364=1139,775,+,364,1139
269-197=72,269,-,197,72
387+619=1006,387,+,619,1006
54+242=296,54,+,242,296
417+851=1268,417,+,851,1268
881-611=270,881,-,611,270
782-773=9,782,-,773,9
900+4=904,900,+,4,904
836-487=349,836,-,487,349
201+95=296,201,+,95,296
389-366=23,389,-,366,23
745-701=44,745,-,701,44
237+98=335,237,+,98,335
545+128=673,545,+,128,673
286-76=210,286,-,76,210
431-430=1,431,-,430,1
430-387=43,430,-,387,43
990-80=910,990,-,80,910
220+908=1128,220,+,908,1128
851-613=238,851,-,613,238
794-230=564,794,-,230,564
796+404=1200,796,+,404,1200
764+894=1658,764,+,894,1658
225+985=1210,225,+,985,1210
129+22=151,129,+,22,151
876+737=1613,876,+,737,1613
563-61=502,563,-,61,502
775-171=604,775,-,171,604
92+724=816,92,+,724,816
456+163=619,456,+,163,619
757+513=1270,757,+,513,1270
998-476=522,998,-,476,522
854+950=1804,854,+,950,1804
814-424=390,814,-,424,390
270+753=1023,270,+,753,1023
870-447=423,870,-,447,423
564+596=1160,564,+,596,1160
860-326=534,860,-,326,534
757+890=1647,757,+,890,1647
60+35=95,60,+,35,95
594+555=1149,594,+,555,1149
82-27=55,82,-,27,55
126+53=179,126,+,53,179
845-248=597,845,-,248,597
57+6=63,57,+,6,63
141-106=35,141,-,106,35
418-63=355,418,-,63,355
689+619=1308,689,+,619,1308
395+368=763,395,+,368,763
153+277=430,153,+,277,430
499-495=4,499,-,495,4
194+639=833,194,+,639,833
681+205=886,681,+,205,886
972-819=153,972,-,819,153
933-240=693,933,-,240,693
957-483=474,957,-,483,474
497-472=25,497,-,472,25
454-446=8,454,-,446,8
753+141=894,753,+,141,894
768-605=163,768,-,605,163
734-508=226,734,-,508,226
652+511=1163,652,+,511,1163
410+204=614,410,+,204,614
183-104=79,183,-,104,79
992-542=450,992,-,542,450
648-124=524,648,-,124,524
314+463=777,314,+,463,777
37+682=719,37,+,682,719
997-530=467,997,-,530,467
658-427=231,658,-,427,231
518-320=198,518,-,320,198
660-418=242,660,-,418,242
951-204=747,951,-,204,747
127+17=144,127,+,17,144
465+627=1092,465,+,627,1092
218-183=35,218,-,183,35
950+605=1555,950,+,605,1555
377-84=293,377,-,84,293
218-45=173,218,-,45,173
408+626=1034,408,+,626,1034
967-423=544,967,-,423,544
747-403=344,747,-,403,344
386+172=558,386,+,172,558
131+67=198,131,+,67,198
871+859=1730,871,+,859,1730
388+698=1086,388,+,698,1086
470+570=1040,470,+,570,1040
24+94=118,24,+,94,118
977-923=54,977,-,923,54
774+506=1280,774,+,506,1280
402-86=316,402,-,86,316
75+571=646,75,+,571,646
22+143=165,22,+,143,165
81-74=7,81,-,74,7
932-598=334,932,-,598,334
477-431=46,477,-,431,46
996-905=91,996,-,905,91
902-895=7,902,-,895,7
657+32=689,657,+,32,689
457-404=53,457,-,404,53
615-415=200,615,-,415,200
477+37=514,477,+,37,514
4+56=60,4,+,56,60
405+139=544,405,+,139,544
252-247=5,252,-,247,5
884+572=1456,884,+,572,1456
108-49=59,108,-,49,59
311-304=7,311,-,304,7
724-413=311,724,-,413,311
18+32=50,18,+,32,50
310-64=246,310,-,64,246
677-73=604,677,-,73,604
329-327=2,329,-,327,2
860+878=1738,860,+,878,1738
682+653=1335,682,+,653,1335
414+290=704,414,+,290,704
241+568=809,241,+,568,809
0+514=514,0,+,514,514
218-188=30,218,-,188,30
571-32=539,571,-,32,539
241+519=760,241,+,519,760
669-646=23,669,-,646,23
183-174=9,183,-,174,9
760-739=21,760,-,739,21
477-245=232,477,-,245,232
155-133=22,155,-,133,22
323-197=126,323,-,197,126
20+60=80,20,+,60,80
667-263=404,667,-,263,404
792+170=962,792,+,170,962
613-195=418,613,-,195,418
678-451=227,678,-,451,227
751-557=194,751,-,557,194
888-65=823,888,-,65,823
41+33=74,41,+,33,74
903-76=827,903,-,76,827
447+919=1366,447,+,919,1366
75+614=689,75,+,614,689
610-564=46,610,-,564,46
958+259=1217,958,+,259,1217
918-912=6,918,-,912,6
198+773=971,198,+,773,971
479+451=930,479,+,451,930
824-693=131,824,-,693,131
728+146=874,728,+,146,874
907-800=107,907,-,800,107
643+489=1132,643,+,489,1132
218+993=1211,218,+,993,1211
85+102=187,85,+,102,187
365-159=206,365,-,159,206
686+646=1332,686,+,646,1332
325-223=102,325,-,223,102
612-557=55,612,-,557,55
617-373=244,617,-,373,244
678-516=162,678,-,516,162
829-423=406,829,-,423,406
989-174=815,989,-,174,815
269-264=5,269,-,264,5
982-441=541,982,-,441,541
33+2=35,33,+,2,35
464-458=6,464,-,458,6
217+11=228,217,+,11,228
166+351=517,166,+,351,517
273-136=137,273,-,136,137
682+95=777,682,+,95,777
29+58=87,29,+,58,87
392+559=951,392,+,559,951
823+648=1471,823,+,648,1471
568-108=460,568,-,108,460
276+23=299,276,+,23,299
519-1=518,519,-,1,518
899-690=209,899,-,690,209
70+8=78,70,+,8,78
250+10=260,250,+,10,260
244+174=418,244,+,174,418
34+12=46,34,+,12,46
405+448=853,405,+,448,853
503+447=950,503,+,447,950
874-850=24,874,-,850,24
204+617=821,204,+,617,821
114+513=627,114,+,513,627
929+589=1518,929,+,589,1518
20+54=74,20,+,54,74
423+445=868,423,+,445,868
745+851=1596,745,+,851,1596
913-44=869,913,-,44,869
155+916=1071,155,+,916,1071
110+604=714,110,+,604,714
17-15=2,17,-,15,2
332+469=801,332,+,469,801
119-107=12,119,-,107,12
26+44=70,26,+,44,70
575-176=399,575,-,176,399
890-202=688,890,-,202,688
702-112=590,702,-,112,590
22+62=84,22,+,62,84
291+41=332,291,+,41,332
118-83=35,118,-,83,35
42+566=608,42,+,566,608
328+739=1067,328,+,739,1067
389-67=322,389,-,67,322
2+77=79,2,+,77,79
389+706=1095,389,+,706,1095
394+633=1027,394,+,633,1027
36+4=40,36,+,4,40
238-19=219,238,-,19,219
967+439=1406,967,+,439,1406
439+239=678,439,+,239,678
736+739=1475,736,+,739,1475
946-713=233,946,-,713,233
852-196=656,852,-,196,656
783-741=42,783,-,741,42
258-174=84,258,-,174,84
800+710=1510,800,+,710,1510
296+323=619,296,+,323,619
670+0=670,670,+,0,670
200-198=2,200,-,198,2
34+553=587,34,+,553,587
19+642=661,19,+,642,661
514-317=197,514,-,317,197
147-90=57,147,-,90,57
552+116=668,552,+,116,668
974-907=67,974,-,907,67
407+275=682,407,+,275,682
716+407=1123,716,+,407,1123
476+523=999,476,+,523,999
984-584=400,984,-,584,400
38+8=46,38,+,8,46
481+628=1109,481,+,628,1109
514+349=863,514,+,349,863
551+956=1507,551,+,956,1507
886-864=22,886,-,864,22
139+341=480,139,+,341,480
526+365=891,526,+,365,891
801-230=571,801,-,230,571
976-486=490,976,-,486,490
474-460=14,474,-,460,14
326-28=298,326,-,28,298
545+629=1174,545,+,629,1174
369-201=168,369,-,201,168
897-869=28,897,-,869,28
801-138=663,801,-,138,663
365+556=921,365,+,556,921
706+536=1242,706,+,536,1242
472-412=60,472,-,412,60
983-483=500,983,-,483,500
171+475=646,171,+,475,646
534-139=395,534,-,139,395
439+806=1245,439,+,806,1245
915-852=63,915,-,852,63
412+788=1200,412,+,788,1200
864+628=1492,864,+,628,1492
213-212=1,213,-,212,1
61-54=7,61,-,54,7
395+600=995,395,+,600,995
778-271=507,778,-,271,507
549+450=999,549,+,450,999
640-272=368,640,-,272,368
701-685=16,701,-,685,16
463-445=18,463,-,445,18
685+524=1209,685,+,524,1209
647+43=690,647,+,43,690
693+452=1145,693,+,452,1145
238-155=83,238,-,155,83
443-366=77,443,-,366,77
576+176=752,576,+,176,752
716+894=1610,716,+,894,1610
990-978=12,990,-,978,12
827-203=624,827,-,203,624
658-193=465,658,-,193,465
271-186=85,271,-,186,85
187+239=426,187,+,239,426
676-599=77,676,-,599,77
567+246=813,567,+,246,813
433+704=1137,433,+,704,1137
950+653=1603,950,+,653,1603
25+39=64,25,+,39,64
743+611=1354,743,+,611,1354
289+587=876,289,+,587,876
939-822=117,939,-,822,117
215+473=688,215,+,473,688
794+473=1267,794,+,473,1267
205+609=814,205,+,609,814
564+119=683,564,+,119,683
244-219=25,244,-,219,25
832-580=252,832,-,580,252
938+171=1109,938,+,171,1109
968+460=1428,968,+,460,1428
829-131=698,829,-,131,698
252+837=1089,252,+,837,1089
692+99=791,692,+,99,791
993+814=1807,993,+,814,1807
430-362=68,430,-,362,68
829+483=1312,829,+,483,1312
95-13=82,95,-,13,82
830-805=25,830,-,805,25
672-614=58,672,-,614,58
664+356=1020,664,+,356,1020
